hospital_id,hospital_name,hospital_add,hospital_code,hospital_phone,hospital_country
1310,"SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH",35007,2056208100,SHELBY
1317,"MERCY HOSPITAL BOONEVILLE","880 WEST MAIN",72927,8708985011,LOGAN
1322,"Akshardeep Orthopaedic Hospital","2Nd Floor, Shubh Complex, Near Rajasthan Hospital, Shahibaugnr. Rajasthan Hospital,",380004,9495025633,INDIA
1324,"ENCINO HOSPITAL MEDICAL CENTER","16237 VENTURA BLVD",91436,7149923000,"LOS ANGELES"
1325,"ST VINCENT MEDICAL CENTER/NORTH","2215 WILDWOOD AVENUE",72120,4795717002,PULASKI
1348,"UKIAH VALLEY MEDICAL CENTER","275 HOSPITAL DRIVE",95482,9167811000,MENDOCINO
1358,"MAYERS MEMORIAL HOSPITAL","43563 HWY 299 EAST",96028,5302796111,SHASTA
1362,"KAISER FOUNDATION HOSPITAL FONTANA","9961 SIERRA AVE",92335,5302746000,"SAN BERNARDINO"
1364,"WATSONVILLE COMMUNITY HOSPITAL","75 NIELSON STREET",95076,6613825000,"SANTA CRUZ"
1379,"SAN RAMON REGIONAL MEDICAL CTR","6001 NORRIS CANYON ROAD",94583,5302258700,"CONTRA COSTA"
1396,"Akira Eye Hospital","Aryapuram,Rajahmundry",533104,5851066558,INDIA
1401,"VENTURA COUNTY MEDICAL CENTER","3291 LOMA VISTA RD",93003,5266980811,VENTURA
1419,"BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE",85206,6238796100,MARICOPA
1421,"Aparna Hospitals Pvt Ltd","#2-5-680,Subedari,Hanamkonda",506001,2451796484,INDIA
1426,"SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET",36535,2519493400,BALDWIN
1440,"Annapoorna Orthopaedic & Speciality Hospital","#953, Kantaraj Urs Road, Lakshmipuram, Mysore-570004",570004,4314362558,INDIA
1442,"Apollo Hospital","Vikrampuri Colony, Rajivi Gandhi Marg, Kharkhana.",500003,9337680607,INDIA
1457,"MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET",36330,3343470584,COFFEE
1458,"Adichunchanagiri Hospital & Research","Balagangadharanatha Nagara, Nagamangala Taluk, Mandya Dist, Mandya-571448Nagamangala Taluk, Mandya Dist",571448,3546096385,INDIA
1463,"Aditya Multispeciality Hospital","Opp: Police Parade Grounds,Hanamkanda,Kishanpura.",506001,7721781289,INDIA
1468,"GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER","21530 S PIONEER BLVD",90716,9096276111,"LOS ANGELES"
1473,"Annapoorna Hospital","47-9-32, 3Rd Lane, Dwarakanagar, Visakahpatnam-530016",530016,3254585013,INDIA
1488,"A A Hospital","Denkani Kottai Road Mathigiri",635110,7071168107,INDIA
1497,"Al Shifa Hospital Pvt Ltd","Pb No. 26, Ooty Road Perintalmannaooty Road",679322,4676437708,INDIA
1511,"LAC+USC MEDICAL CENTER","1200 N STATE ST, ROOM C2K100",90033,4085592011,"LOS ANGELES"
1519,"LAC/OLIVE VIEW-UCLA MEDICAL CENTER","14445 OLIVE VIEW DRIVE",91342,5106554000,"LOS ANGELES"
1533,"Anvitha Hospital","8-3-23A/A/516,517,A-Block Sri Keishna Nagar,Yousufguda",500045,6684279244,INDIA
1536,"MEMORIAL HOSPITAL LOS BANOS","520 WEST I ST",93635,6502992000,MERCED
1540,"SAN JOAQUIN GENERAL HOSPITAL","500 W HOSPITAL ROAD",95231,7075255300,"SAN JOAQUIN"
1560,"CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE",35801,2568823100,MADISON
1561,"Adittya Eye Clinic","M.G.Road, Ronik Apts, 1St Floor,Kandival(W)",400067,4322034096,INDIA
1562,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL","1680 EAST 120TH STREET",90059,9095967733,"LOS ANGELES"
1563,"ORO VALLEY HOSPITAL","1551 EAST TANGERINE ROAD",85755,9287887252,PIMA
1572,"A-Care Orthopaedic & General Hospital","G-1, Giriraj Tower, Sai Baba Nagar, Mira Bhayander Road, Mira Road.",401107,2057219691,INDIA
1578,"SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL","1250 16TH STREET",90404,8188858500,"LOS ANGELES"
1584,"Adyar P.M. Hospital","# 58, L.B. Road, Adyar, Chennai-600020Chennai",600020,5782309724,INDIA
1587,"SONOMA VALLEY HOSPITAL","347 ANDRIEUX ST",95476,6263388481,SONOMA
1590,"CHINLE COMPREHENSIVE HEALTH CARE FACILITY","US HWY 191, HOSPITAL ROAD",86503,5204698100,APACHE
1592,"CHICOT MEMORIAL MEDICAL CENTER","2729 SOUTH HIGHWAY 65 & 82",71653,8705983881,CHICOT
1595,"CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL","100 HEALTH PARK DRIVE",80027,3037305888,BOULDER
1597,"Amri Medical Center","97A, Southern Avenue, Opp To Lake Stadium, Kolkata-700029",700029,8668779605,INDIA
1605,"Aditya Eye Clinic And Contact Lens Centre","Office # 1A,Kumar Plaza,M.G.Road,",411001,3963545901,INDIA
1638,"LOMPOC VALLEY MEDICAL CENTER","1515 E OCEAN AVENUE",93436,7607393000,"SANTA BARBARA"
1646,"Apex Hospital","Opp Ganesh Maidan, Bidar, Karnataka",585407,1349853996,INDIA
1652,"COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST",35150,2562495000,TALLADEGA
1658,"TRI-CITY MEDICAL CENTER","4002 VISTA WAY",92056,6262895454,"SAN DIEGO"
1660,"COMMUNITY MEDICAL CENTER IZARD COUNTY","103 GRASSE STREET",72519,8702225600,IZARD
1669,"SUTTER COAST HOSPITAL","800 E WASHINGTON BLVD",95531,9169735000,"DEL NORTE"
1672,"Apollo Speciality Hospital (Madurai)","20,Lake View, Kk Nagar,",625020,2635492506,INDIA
1688,"HIGHLAND HOSPITAL","1411 E 31ST STREET",94602,9517374343,ALAMEDA
1693,"WHITE MEMORIAL MEDICAL CENTER","1720 E CESAR AVENUE",90033,9167338999,"LOS ANGELES"
1694,"Aditya Nursing Home","No.1/541-135,Aas College Road,Adoni,",518302,8532078465,INDIA
1704,"QUEEN OF THE VALLEY MEDICAL CENTER","1000 TRANCAS ST",94558,2092237500,NAPA
1721,"CHI ST. VINCENT HOSPITAL HOT SPRINGS","300 WERNER STREET",71903,5013293831,GARLAND
1733,"Asha Orthopaedic Hospital","Bashi Kalingar,#2,Geetha Bhavan Lane Off,Navghar Road,Bhayander East,Thane",401105,2467193411,INDIA
1734,"Aakash Hospital","90/43, Malviya Nagar, New Delhi",110017,1630593121,INDIA
1748,"Anand Medical Foundation Subudh Hospital","145,Kothrod Near Shivaji Statue",411038,6655673809,INDIA
1749,"A.G. Hospital","34, Kpn Colony 3Rd Street, Tirupur",641601,4521495293,INDIA
1753,"JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET",36106,3342938000,MONTGOMERY
1763,"Arunpriya Nursing Home","3&4, Pattamangalam Street,Nagapattinam",609001,9063584516,INDIA
1765,"Ambay Hospital","1, Lajpat Nagar, Near St. Thomas School.",201005,5330438669,INDIA
1776,"Anand Medical Centre","# 171, Sector 56, Near Kendriya Vihar",122002,7179722270,INDIA
1789,"Alphonsa Hospital","Chruch,Karukutty",683576,6377120074,INDIA
1791,"Archana Hospital","K.R. Road, Ashok Nagar, Mandya-571401Mandya",571401,5933990584,INDIA
1792,"Apolo Hospital","#2509/3,Bhushanpura,Inside Suctan Wind Gate",143001,9328263342,INDIA
1800,"Aashirwad Nursing Home & Iccu","A3, New Green Apartments,Tilak Chowk, Turel Pakhadi Roa",400064,5891733226,INDIA
1814,"ST HELENA HOSPITAL-CLEARLAKE","15630 18TH AVE - HWY 53",95422,7074316500,LAKE
1831,"MARIN GENERAL HOSPITAL","250 BON AIR ROAD, PO BOX 8010",94904,3102222101,MARIN
1834,"Alpha Medical Services (Pvt) Ltd","21/1, Dobson Road Howrahmaulana Abul Kalam Azad Rd",711101,5500112145,INDIA
1848,"SAINT JOSEPH HOSPITAL","1375 EAST 19TH AVE",80218,3037885000,DENVER
1849,"ARIZONA SPECIALTY HOSPITAL","2905 WEST WARNER ROAD, SUITE 1",85224,5209013549,MARICOPA
1851,"KAISER FOUNDATION HOSPITAL - WALNUT CREEK","1425 S MAIN STREET",94596,4158332646,"CONTRA COSTA"
1854,"FRESNO SURGICAL HOSPITAL","6125 NORTH FRESNO ST",93710,8314772200,FRESNO
1856,"Aneja Hospital & Nursing Home","# 48, Mahesh Nagar Opp Water Tank",133001,6904001281,INDIA
1860,"PALMDALE REGIONAL MEDICAL CENTER","38600 MEDICAL CENTER DRIVE",93552,6195025800,"LOS ANGELES"
1880,"Ahalya Nursing Home","Back Side Sivaayam Temple, Kothapet, Guntur, Andhra Pradesh-522002.",522002,8714415174,INDIA
1881,"Angel Maternity & Nursing Home","No.3,Komedan Bagan Lane,Near Jora Girja Corporation ,Garage On Ajc Bose Road,",700016,3812355049,INDIA
1882,"MARINA DEL REY HOSPITAL","4650 LINCOLN BLVD",90291,7146330011,"LOS ANGELES"
1889,"Ashirwad Nursing Home","55-56,Ved Vyas Colony",457001,5308358324,INDIA
1891,"Amardeep Eye Care","Tc 5/608, Gnp.2, Nalini Vilas, Thiruvananthapuram, Kerala",695005,9452658852,INDIA
1902,"GOOD SAMARITAN HOSPITAL","901 OLIVE DRIVE",93308,9093355500,KERN
1908,"Annadaneshwara Hospital","Hahe Road, Sindhanur",584128,6187964748,INDIA
1911,"Amarawati Hospital","Saraswati Enclave Near Power House, Opp. Sec. 10A, Gurgaon-122001, Haryana",122001,5424910766,INDIA
1923,"SOUTHWEST HEALTHCARE SYSTEM","25500 MEDICAL CENTER DRIVE",92562,7602418000,RIVERSIDE
1926,"UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR","200 WEST ARBOR DRIVE",92103,7078223621,"SAN DIEGO"
1931,"Adarsha Hospital","# 274/Vi, N.H. # 17, Kundapura, Udapi-576201Udupi- 576201",576201,4330304844,INDIA
1940,"Amar Medical & Research Centre","Kiran Path,Mansarover",302020,9240952101,INDIA
1941,"FOOTHILL PRESBYTERIAN HOSPITAL","250 S GRAND AVE",91740,4089727000,"LOS ANGELES"
1945,"Arpan Maternity Hospital & Endoscopy Centre","Uganda Road, Porbandar, Near Railway Station",360575,3607727728,INDIA
1946,"Ashish Orthopaedic Hospital","24, Himalaya Complex, Nehru Park, Vajtrapur",380015,3867747889,INDIA
1951,"Arushi Medical Centre","B-1/31, Sector-K, Aliganj, Lucknow - 226024",226022,8855431604,INDIA
1971,"KECK HOSPITAL OF USC","1500 SAN PABLO ST",90033,8189043100,"LOS ANGELES"
1972,"A.M. Hospital","N.H. 47, Karunagapally",690518,5493618402,INDIA
1979,"EUREKA SPRINGS HOSPITAL, LLC","24 NORRIS STREET",72632,8702973726,CARROLL
1988,"FLAGSTAFF MEDICAL CENTER","1200 NORTH BEAVER STREET",86001,6024065001,COCONINO
1995,"Akshare Eye Foundation","#6052 Railway Station Road,Opp Town Hall",572102,1552720059,INDIA
2003,"Amulya Jyoti Eye Foundation","#105,Manoharpukur Road,",700029,3704969371,INDIA
2008,"KAISER FOUNDATION HOSPITAL - ROSEVILLE","1600 EUREKA ROAD",95661,5625951911,PLACER
2016,"A.U.S. Clinic & Lithotripsy Centre","Arun Chambers, Tardeo, Mumbai-400034Tardeo",400034,4305134511,INDIA
2019,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST",35021,2054817000,JEFFERSON
2024,"MAD RIVER COMMUNITY HOSPITAL","3800 JANES RD",95521,6613271792,HUMBOLDT
2033,"Ano Surge Hospital & Research Centre","Doctor House,Opp Shantaba Hall,Bus Station Road",384265,2653135881,INDIA
2038,"Arul Mission Hospital","7A1 & 2,North Main Road,Vallioor",627117,3511711646,INDIA
2039,"RIDEOUT MEMORIAL HOSPITAL","726 4TH ST",95901,8183753333,YUBA
2044,"Apoorva Multispeiality Hospital","Shreem 4889/90, Off Dr S P M Road, Near Prakash Theatre, Shastrinagar, Belgum- 590002",590002,7653672861,INDIA
2046,"Apollo Nursing Home","H.No.3-3-111,Sawaran Street,Civil Hospital Road",505001,1026737504,INDIA
2073,"Anand Surgical Hospital Ltd.","5, Janta Chambers, Nr,Saijpur Towernr. Saijpur Tower",382345,5590502851,INDIA
2080,"Arogyam Superspeciality Hospital","#34, Sita Nagar Wardha Road Opp Green Wally Lawns",440025,8024473747,INDIA
2085,"Acchutha Eye Care","#H-3, Evn Road, Permar Nagar, Near Surampatti Nall Road, Erode-638009",638009,4268980676,INDIA
2102,"KAISER FOUNDATION HOSPITAL - SOUTH BAY","25825 SOUTH VERMONT AVENUE",90710,7609224115,"LOS ANGELES"
2103,"Apollo Emergency Hospital","3-5-836 Hyderguda, Hyderabad 500029",500029,9916270970,INDIA
2106,"PACIFIC ALLIANCE MEDICAL CENTER","531 W COLLEGE ST",90012,6194704321,"LOS ANGELES"
2114,"Apollo Speciality Hospital (Chennai)","No 320 5Th Floor, Padma Complex, Anna Salai, Near Lr Swami Building, Nandanam, Chennai, Tamil Nadu",600035,7219728170,INDIA
2115,"Anand Hospital","201, Kamaraj Salai,Manali,Chennaimanali",600068,8939574552,INDIA
2118,"SAINT LOUISE REGIONAL HOSPITAL","9400 NO NAME UNO",95020,3234428656,"SANTA CLARA"
2135,"KERN MEDICAL CENTER","1700 MOUNT VERNON AVENUE",93306,9095584000,KERN
2142,"VALLEY VIEW MEDICAL CENTER","5330 SOUTH HIGHWAY 95",86426,4808403715,MOHAVE
2156,"Archana Hospital","Ram Nagar",560048,4220007694,INDIA
2165,"KAISER FOUNDATION HOSPITAL - REDWOOD CITY","1100 VETERANS BOULEVARD",94063,7079386000,"SAN MATEO"
2171,"Anil Baghi Hospital","Anil Baghi Road,Ferozepur City",152002,9302839612,INDIA
2180,"Amulya Nursing Home","Guntur Road, Narasaraopet.",522601,7974730644,INDIA
2199,"Apollo Hospitals","Jubilee Hills, Hyderabad-500033",500033,8099351902,INDIA
2205,"ROSE MEDICAL CENTER","4567 E 9TH AVENUE",80220,9708673391,DENVER
2209,"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE",36301,3347938701,HOUSTON
2210,"EISENHOWER MEDICAL CENTER","39-000 BOB HOPE DRIVE",92270,5626026751,RIVERSIDE
2221,"VALLEY CHILDREN'S HOSPITAL","9300 VALLEY CHILDRENS PLACE",93636,7149973000,FRESNO
2223,"CHANDLER REGIONAL MEDICAL CENTER","1955 WEST FRYE ROAD",85224,6022518156,MARICOPA
2224,"ST JOSEPH HOSPITAL","2700 DOLBEER ST",95501,4156006000,HUMBOLDT
2225,"Alled Hospital Limited (Tsunami Project Only)","2/333,Guruvayoor Road,",680521,1931255640,INDIA
2230,"Ansari Hospital","Rz-20F/B, Street No-6, Sagarpur Main.",110046,5136216967,INDIA
2244,"Alapati Nursing Home","Gopalreddy Street, Ganganammapet.",522201,6405715810,INDIA
2248,"SUTTER SOLANO MEDICAL CENTER","300 HOSPITAL DR",94589,3109008900,SOLANO
2249,"Arokya Hospital","#32, Pillayar Koil Street",600078,4253478310,INDIA
2257,"CEDARS-SINAI MEDICAL CENTER","8700 BEVERLY BLVD",90048,3232685514,"LOS ANGELES"
2266,"HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE",86403,9287298000,MOHAVE
2273,"MARSHALL MEDICAL CENTER","1100 MARSHALL WAY",95667,3108256301,"EL DORADO"
2292,"ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE",35235,2058383122,JEFFERSON
2293,"Anand Hospital & Navdeep Eye Centre","No.105,Adarsh Nagar Near Head Post Office,",132103,7768481212,INDIA
2294,"BANNER GOLDFIELD MEDICAL CENTER","2050 WEST SOUTHERN AVENUE",85120,5203934710,PINAL
2295,"Appasamy Medicare Centre Pvt Ltd","23-25, Friends Avenue, Arumbakkam, Chennaiarumbakkam",600106,3091181521,INDIA
2297,"Aarthy Eye Hospital","#16, Sengunthapuram Main Road, Karur.",639002,6125763560,INDIA
2303,"GLENN MEDICAL CENTER","1133 W SYCAMORE ST",95988,7079233921,GLENN
2311,"COLLEGE MEDICAL CENTER","2776 PACIFIC AVENUE",90806,4248356808,"LOS ANGELES"
2346,"Aditya Multi Care Hospital","18-1-33, Opp. K.G.H.O.P Gate, Aditya Medical Complex, Vishkhapatnam-530002",530002,1311852489,INDIA
2350,"NORTHRIDGE HOSPITAL MEDICAL CENTER","18300 ROSCOE BLVD",91325,2099445550,"LOS ANGELES"
2354,"Apex Hospital","#34,Tagore Nagar,Gwalior",474011,2568031977,INDIA
2363,"Ankur Hospital","1St Floor, Kalpatoru,Mathura Das Road,Kandivli (W)Mathuradas Rd, Kandivli (W)",400067,8573888777,INDIA
2364,"DENVER HEALTH MEDICAL CENTER","777 BANNOCK ST",80204,7203210000,DENVER
2368,"Aruna Hospital","Dr.Radhakrishan Road, Tumkur",572102,4182232835,INDIA
2376,"Ashirvad Hospital","Rathnagiri Road,",577101,5574635269,INDIA
2379,"MAMMOTH HOSPITAL","85 SIERRA PARK ROAD PO BOX 660",93546,5309341818,MONO
2382,"Ahalyadevi Nursing Home","16-1-712, Near Nehru State, Trunk Road.",524003,9343182609,INDIA
2387,"ABRAZO MARYVALE CAMPUS","5102 WEST CAMPBELL AVENUE",85031,6022392000,MARICOPA
2401,"SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER","611 WEST LEE AVENUE",72370,4796752800,MISSISSIPPI
2402,"Adarsh Nursing Home","Gopalswamy Road,Gandhinagar",583103,3724478940,INDIA
2404,"BAXTER REGIONAL MEDICAL CENTER","624 HOSPITAL DRIVE",72653,5012023000,BAXTER
2410,"CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR",35960,2569275531,CHEROKEE
2414,"Apex Research Centre & Hospital Pvt Ltd","116-117, Sindhi Colony, Berasia Road,",462001,8473469161,INDIA
2440,"Arihant Heart & Medical Hospital","S-15, Shubh Complex,2Nd Floor, Nr.Rajasthan Hospitalrajasthan Hosp. Road,",380004,3602966056,INDIA
2443,"PRESBYTERIAN ST LUKES MEDICAL CENTER","1719 E 19TH AVE",80218,7193655000,DENVER
2450,"Advanced Neurology & Superspeciality Hospital, Jaipur","D-358, Brain Tower, Malviyanagar, Jaipur-302017",302017,9819502725,INDIA
2457,"Ashok Hospital","65,N.H.C.S. Lay-Out, 3Rd Stage, 4Th Block, Basaveshwar Nagar, Kamalanagar Main Road.",560079,7441124513,INDIA
2460,"REDLANDS COMMUNITY HOSPITAL","350 TERRACINA BLVD",92373,7603663711,"SAN BERNARDINO"
2469,"Anurag Nursing Home","60/181,Heerapath,Mansarower",302020,9689391216,INDIA
2474,"Apollo Hospital ( T.H.Road-Chennai)","#645, T.H.Road, Tondiarpet",600081,4829962900,INDIA
2483,"Abhaya Hospital (Neuropsychiatry & Critical Care Hospital Pvt Ltd)","17, Dr.M.H.Mari Gowda Road,Wilson Garden,Bangalore",560027,1276144618,INDIA
2485,"Aravali Hospital","# 332, Ambamata Schemeudaipur, Rajasthan",313004,8934733620,INDIA
2492,"Adarsha Nursing Home","Sharadadevi Nagaropp Mg Stadium",572103,2345979834,INDIA
2509,"MEDICAL CENTER OF AURORA, THE","1501 S POTOMAC ST",80012,7202251000,ARAPAHOE
2514,"Amma Hospital","# 1, Sowrastra Nagar7Th Street, Chennai",600094,9435854580,INDIA
2517,"UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS","1700 CENTER STREET",36604,9075622211,MOBILE
2518,"KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND","275 W MACARTHUR BOULEVARD",94611,3108323311,ALAMEDA
2523,"Aravind Eye Hospital- Madhurai","1- Anna Nagar, Madurai-625020Madhurai",625020,5795885363,INDIA
2542,"Abhijay Hospital (P) Ltd.","No.22/2, E.S.I Hospital Road,Peravallur,",600011,8694688480,INDIA
2544,"WOODLAND MEMORIAL HOSPITAL","1325 COTTONWOOD STREET",95695,4152091300,YOLO
2547,"GOOD SAMARITAN MEDICAL CENTER","200 EXEMPLA CIRCLE",80026,7203215000,BOULDER
2548,"Asha Polyclinic & Shetal Nursing Home","145, 60 Feet Road,Opp.Uti Bank,Ghatkopar(E)-400077Chatkopur (E), Mumbai - 400077",400077,2826999327,INDIA
2578,"STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST",36201,2562358900,CALHOUN
2579,"GLENDALE MEM HOSPITAL & HLTH CENTER","1420 S CENTRAL AVE",91204,2098473011,"LOS ANGELES"
2590,"Ahirkar Hospital","Near Ratan Cinema Narpoli,Bhiwandi,Thane",421302,8968467581,INDIA
2612,"Aditya Diagnostics & Hospitals (A Unit Of Dr. N. Sahewalla & Co Pvt. Ltd)","AMC Road, Bordoloi Avenue, Dibrugarl Dist, Assam-786005.",786005,7934217274,INDIA
2619,"RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER","26520 CACTUS AVENUE",92555,7602561761,RIVERSIDE
2635,"SUTTER AMADOR HOSPITAL","200 MISSION BLVD",95642,2136248411,AMADOR
2645,"SEQUOIA HOSPITAL","170 ALAMEDA DE LAS PULGAS",94062,5105223700,"SAN MATEO"
2653,"CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP","2333 BUCHANAN STREET",94115,6619495000,"SAN FRANCISCO"
2654,"HEALDSBURG DISTRICT HOSPITAL","1375 UNIVERSITY AVENUE",95448,5302832121,SONOMA
2658,"ARROWHEAD REGIONAL MEDICAL CENTER","400 NORTH PEPPER AVENUE",92324,6613994461,"SAN BERNARDINO"
2660,"Anand Eye Institute Private Limited","4Th Floor,Rata Tycoon,Tarnaka",500017,3560818007,INDIA
2661,"Annapurna Multispeciality Hospital","10-165, Eluru Road, Gudivada, Krishna-521301, Opp.Bank Of Baroda",521301,7503551322,INDIA
2664,"MERCY GILBERT MEDICAL CENTER","3555 SOUTH VAL VISTA DRIVE",85296,4803586100,MARICOPA
2668,"YUKON KUSKOKWIM DELTA REG HOSPITAL","PO BOX 287",99559,9075632662,BETHEL
2670,"PLATTE VALLEY MEDICAL CENTER","1600 PRAIRIE CENTER PARKWAY",80601,9704957000,ADAMS
2675,"BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD",85306,6235244000,MARICOPA
2679,"NATIONAL PARK MEDICAL CENTER","1910 MALVERN AVENUE",71901,8703385800,GARLAND
2683,"WADLEY REGIONAL MEDICAL CENTER AT HOPE","2001 SOUTH MAIN",71801,4799636101,HEMPSTEAD
2695,"Arneja Institute Of Cardialogy Pvt Ltd","123, Ramdaspeth Behind Somalwar School",440010,6040120391,INDIA
2707,"Acharya Shri Chander College Of Medical Sciences & Hospital","P.B # 5, Hpo Gandhi Nagar,Jammu-180017.",180017,9894018831,INDIA
2715,"SUTTER SANTA ROSA REGIONAL HOSPITAL","30 MARK WEST SPRINGS ROAD",95403,8316375711,SONOMA
2719,"CHILDREN'S HOSPITAL AT MISSION","27700 MEDICAL CENTER RD, 5TH FLOOR",92691,9164532000,ORANGE
